id_nodo,latitud,longitud,tipo,estado
N001,-16.23,-71.21,cuadra,transitable
N002,-16.24,-71.215,cuadra,obstaculo
N003,-16.235,-71.212,tubo,transitable
N004,-16.238,-71.218,tubo,transitable
N005,-16.242,-71.22,cuadra,transitable
N006,-16.4303,-71.5279,cuadra,transitable
D001,-16.364958,-71.51416,tubo,transitable
D002,-16.370273,-71.502447,valvula,transitable
D003,-16.379945,-71.515085,cuadra,obstaculo
D004,-16.435758,-71.526752,valvula,transitable
D005,-16.36272,-71.534664,tubo,obstaculo
D006,-16.41516,-71.510154,tubo,obstaculo
D007,-16.409865,-71.525276,cuadra,obstaculo
D008,-16.412847,-71.576917,tubo,transitable
D009,-16.380314,-71.579748,valvula,obstaculo
D010,-16.35344,-71.551001,tubo,transitable
D011,-16.408794,-71.561177,valvula,transitable
D012,-16.442643,-71.585,tubo,transitable
D013,-16.382866,-71.503609,cuadra,transitable
D014,-16.444771,-71.554057,tubo,transitable
D015,-16.380238,-71.514596,tubo,transitable
D016,-16.413733,-71.525497,cuadra,transitable
D017,-16.386671,-71.595241,tubo,transitable
D018,-16.417871,-71.596152,cuadra,transitable
D019,-16.429111,-71.571154,bomba,transitable
D020,-16.370379,-71.564085,tubo,obstaculo
D021,-16.428599,-71.573277,cuadra,transitable
D022,-16.436765,-71.520147,tubo,transitable
D023,-16.37821,-71.548942,tubo,obstaculo
D024,-16.435784,-71.524333,bomba,transitable
D025,-16.417014,-71.539851,valvula,transitable
D026,-16.357676,-71.506606,valvula,transitable
D027,-16.392035,-71.57394,tubo,transitable
D028,-16.395603,-71.56786,bomba,transitable
D029,-16.352132,-71.569074,cuadra,obstaculo
D030,-16.373359,-71.552408,bomba,transitable
D031,-16.4132,-71.553204,cuadra,transitable
D032,-16.360691,-71.544334,cuadra,obstaculo
D033,-16.413072,-71.545891,cuadra,obstaculo
D034,-16.368873,-71.517548,cuadra,transitable
D035,-16.373364,-71.559383,bomba,obstaculo
D036,-16.355776,-71.507539,tubo,transitable
D037,-16.38029,-71.51805,tubo,transitable
D038,-16.415138,-71.526068,tubo,transitable
D039,-16.36925,-71.517465,valvula,transitable
D040,-16.433384,-71.563996,valvula,transitable
D041,-16.429615,-71.529832,valvula,obstaculo
D042,-16.409115,-71.519461,tubo,transitable
D043,-16.4116,-71.571789,tubo,transitable
D044,-16.350614,-71.53212,cuadra,transitable
D045,-16.419096,-71.567931,cuadra,transitable
D046,-16.355657,-71.55092,valvula,transitable
D047,-16.359038,-71.573147,valvula,transitable
D048,-16.40236,-71.544357,valvula,transitable
D049,-16.352398,-71.500181,tubo,obstaculo
D050,-16.371533,-71.545118,valvula,transitable
D051,-16.361971,-71.54978,tubo,transitable
D052,-16.444292,-71.542081,tubo,transitable
D053,-16.354453,-71.524874,tubo,obstaculo
D054,-16.360824,-71.585139,cuadra,transitable
D055,-16.387261,-71.5046,bomba,transitable
D056,-16.419101,-71.571768,valvula,obstaculo
D057,-16.384621,-71.550854,bomba,obstaculo
D058,-16.403999,-71.566705,bomba,transitable
D059,-16.395302,-71.590273,cuadra,transitable
D060,-16.432278,-71.592367,bomba,transitable
D061,-16.398002,-71.55167,valvula,transitable
D062,-16.386931,-71.570754,bomba,obstaculo
D063,-16.443305,-71.585262,tubo,transitable
D064,-16.424833,-71.57413,valvula,transitable
D065,-16.417571,-71.589552,valvula,obstaculo
D066,-16.366112,-71.591684,cuadra,transitable
D067,-16.440676,-71.567025,valvula,obstaculo
D068,-16.402385,-71.549975,tubo,transitable
D069,-16.358119,-71.571511,tubo,transitable
D070,-16.432021,-71.512278,cuadra,transitable
D071,-16.359273,-71.579308,tubo,transitable
D072,-16.411597,-71.572525,cuadra,transitable
D073,-16.356426,-71.554631,bomba,obstaculo
D074,-16.377554,-71.562102,tubo,transitable
D075,-16.371381,-71.552391,bomba,obstaculo
D076,-16.396891,-71.525688,cuadra,transitable
D077,-16.39657,-71.584511,valvula,transitable
D078,-16.411944,-71.562311,tubo,obstaculo
D079,-16.38684,-71.516141,tubo,transitable
D080,-16.414908,-71.545132,tubo,transitable
D081,-16.352595,-71.535867,valvula,transitable
D082,-16.431668,-71.571429,cuadra,transitable
D083,-16.373672,-71.554353,tubo,obstaculo
D084,-16.418604,-71.578523,valvula,obstaculo
D085,-16.435659,-71.57503,bomba,transitable
D086,-16.382695,-71.58302,bomba,transitable
D087,-16.368929,-71.570116,cuadra,transitable
D088,-16.432705,-71.518621,valvula,transitable
D089,-16.423687,-71.569191,bomba,transitable
D090,-16.418669,-71.590209,bomba,transitable
D091,-16.427463,-71.508013,tubo,transitable
D092,-16.366763,-71.521183,tubo,transitable
D093,-16.41083,-71.591382,bomba,obstaculo
D094,-16.356691,-71.506846,bomba,transitable
D095,-16.400295,-71.505845,tubo,transitable
D096,-16.431616,-71.593513,valvula,transitable
D097,-16.37225,-71.564351,cuadra,transitable
D098,-16.440987,-71.521243,bomba,transitable
D099,-16.449955,-71.549147,cuadra,transitable
D100,-16.366355,-71.589997,cuadra,transitable
D001,-16.420967,-71.534665,tubo,obstaculo
D002,-16.368584,-71.523658,valvula,transitable
D003,-16.384606,-71.577574,cuadra,transitable
D004,-16.416773,-71.566826,bomba,transitable
D005,-16.361995,-71.547185,cuadra,transitable
D006,-16.360855,-71.567581,cuadra,transitable
D007,-16.391247,-71.501932,bomba,transitable
D008,-16.386312,-71.584638,bomba,transitable
D009,-16.369242,-71.594921,tubo,transitable
D010,-16.42129,-71.5507,bomba,transitable
D011,-16.350936,-71.546403,cuadra,transitable
D012,-16.370139,-71.586722,cuadra,obstaculo
D013,-16.351606,-71.592615,cuadra,transitable
D014,-16.429122,-71.590281,bomba,transitable
D015,-16.358635,-71.551338,tubo,transitable
D016,-16.388805,-71.515639,bomba,obstaculo
D017,-16.436408,-71.546567,tubo,transitable
D018,-16.41522,-71.535152,bomba,transitable
D019,-16.442977,-71.599484,cuadra,transitable
D020,-16.422111,-71.538279,valvula,transitable
D021,-16.410222,-71.521619,tubo,transitable
D022,-16.4155,-71.533975,cuadra,transitable
D023,-16.360593,-71.556759,tubo,transitable
D024,-16.433719,-71.520132,bomba,transitable
D025,-16.386006,-71.597605,tubo,transitable
D026,-16.430272,-71.577795,tubo,obstaculo
D027,-16.379521,-71.514134,tubo,transitable
D028,-16.42773,-71.549225,tubo,transitable
D029,-16.438791,-71.510305,cuadra,transitable
D030,-16.425725,-71.519483,bomba,obstaculo
D031,-16.434257,-71.577244,cuadra,transitable
D032,-16.412251,-71.505832,cuadra,transitable
D033,-16.370736,-71.594977,tubo,transitable
D034,-16.355214,-71.56358,valvula,obstaculo
D035,-16.384803,-71.511905,bomba,transitable
D036,-16.365539,-71.54848,valvula,obstaculo
D037,-16.395179,-71.557878,valvula,transitable
D038,-16.41887,-71.543838,tubo,transitable
D039,-16.37677,-71.538328,bomba,transitable
D040,-16.405159,-71.543882,tubo,transitable
D041,-16.430902,-71.550661,bomba,transitable
D042,-16.374337,-71.580905,tubo,transitable
D043,-16.442945,-71.579706,valvula,transitable
D044,-16.365718,-71.551815,tubo,transitable
D045,-16.402742,-71.599329,bomba,transitable
D046,-16.383334,-71.583345,valvula,transitable
D047,-16.42106,-71.573019,valvula,obstaculo
D048,-16.422054,-71.508754,cuadra,transitable
D049,-16.368442,-71.547166,valvula,transitable
D050,-16.400811,-71.563073,cuadra,transitable
D051,-16.397219,-71.559651,tubo,transitable
D052,-16.365775,-71.527222,valvula,transitable
D053,-16.414733,-71.554636,bomba,transitable
D054,-16.354272,-71.560344,tubo,transitable
D055,-16.449329,-71.57337,bomba,transitable
D056,-16.381818,-71.592173,valvula,transitable
D057,-16.421326,-71.522462,cuadra,transitable
D058,-16.432822,-71.592514,tubo,obstaculo
D059,-16.354667,-71.539897,tubo,transitable
D060,-16.435227,-71.545587,cuadra,transitable
D061,-16.447508,-71.56286,tubo,obstaculo
D062,-16.409676,-71.503143,cuadra,transitable
D063,-16.353205,-71.557872,tubo,transitable
D064,-16.360906,-71.581933,tubo,transitable
D065,-16.443752,-71.538495,cuadra,transitable
D066,-16.353987,-71.503421,cuadra,transitable
D067,-16.404464,-71.520955,cuadra,obstaculo
D068,-16.365624,-71.572013,valvula,transitable
D069,-16.387706,-71.579198,valvula,obstaculo
D070,-16.354673,-71.556024,bomba,obstaculo
D071,-16.425649,-71.587692,bomba,transitable
D072,-16.404313,-71.57919,tubo,transitable
D073,-16.444965,-71.523546,cuadra,transitable
D074,-16.432282,-71.541785,valvula,transitable
D075,-16.410434,-71.575318,cuadra,obstaculo
D076,-16.363524,-71.506659,bomba,transitable
D077,-16.438427,-71.586761,valvula,transitable
D078,-16.395019,-71.57692,valvula,transitable
D079,-16.442541,-71.529864,bomba,transitable
D080,-16.391,-71.563147,tubo,transitable
D081,-16.373399,-71.521047,cuadra,transitable
D082,-16.431319,-71.500368,tubo,obstaculo
D083,-16.375881,-71.580978,tubo,transitable
D084,-16.352022,-71.578351,valvula,transitable
D085,-16.426522,-71.509285,valvula,transitable
D086,-16.351163,-71.556999,tubo,transitable
D087,-16.401711,-71.502746,valvula,transitable
D088,-16.394316,-71.576415,bomba,obstaculo
D089,-16.403652,-71.577186,tubo,transitable
D090,-16.392671,-71.560198,cuadra,transitable
D091,-16.395797,-71.552496,bomba,transitable
D092,-16.381456,-71.572562,bomba,obstaculo
D093,-16.431265,-71.562522,bomba,transitable
D094,-16.387236,-71.575503,cuadra,transitable
D095,-16.395685,-71.564138,cuadra,transitable
D096,-16.402254,-71.500549,tubo,transitable
D097,-16.4184,-71.597702,cuadra,transitable
D098,-16.409099,-71.577523,tubo,transitable
D099,-16.366257,-71.526701,bomba,transitable
D100,-16.364008,-71.515321,cuadra,transitable
D001,-16.361389,-71.508625,bomba,transitable
D002,-16.376802,-71.575709,valvula,transitable
D003,-16.353,-71.509388,tubo,transitable
D004,-16.40926,-71.554506,valvula,transitable
D005,-16.409244,-71.575964,cuadra,transitable
D006,-16.448733,-71.507744,tubo,obstaculo
D007,-16.439151,-71.592421,valvula,obstaculo
D008,-16.391698,-71.549183,cuadra,transitable
D009,-16.36224,-71.564917,valvula,transitable
D010,-16.402139,-71.504713,cuadra,obstaculo
D011,-16.357638,-71.573845,valvula,obstaculo
D012,-16.372879,-71.543868,bomba,obstaculo
D013,-16.444782,-71.506761,cuadra,transitable
D014,-16.386054,-71.532878,tubo,transitable
D015,-16.403788,-71.519883,valvula,obstaculo
D016,-16.406025,-71.548976,cuadra,transitable
D017,-16.403058,-71.521044,bomba,transitable
D018,-16.382621,-71.591486,valvula,transitable
D019,-16.433304,-71.524695,tubo,transitable
D020,-16.367009,-71.575597,valvula,transitable
D021,-16.367726,-71.511178,bomba,transitable
D022,-16.35633,-71.574924,bomba,transitable
D023,-16.355869,-71.580869,valvula,transitable
D024,-16.448221,-71.564446,cuadra,transitable
D025,-16.436595,-71.546483,cuadra,transitable
D026,-16.380728,-71.546023,valvula,obstaculo
D027,-16.361657,-71.578943,cuadra,transitable
D028,-16.435933,-71.552072,bomba,obstaculo
D029,-16.362187,-71.561713,valvula,transitable
D030,-16.351895,-71.547201,valvula,transitable
D031,-16.399813,-71.580307,bomba,transitable
D032,-16.354235,-71.572786,valvula,transitable
D033,-16.359365,-71.587278,valvula,transitable
D034,-16.379921,-71.598066,bomba,obstaculo
D035,-16.373025,-71.567112,cuadra,transitable
D036,-16.387772,-71.510649,tubo,obstaculo
D037,-16.37805,-71.588533,cuadra,transitable
D038,-16.393489,-71.519719,cuadra,transitable
D039,-16.419481,-71.558147,valvula,transitable
D040,-16.378149,-71.515457,valvula,transitable
D041,-16.358424,-71.568365,tubo,transitable
D042,-16.405558,-71.598196,valvula,transitable
D043,-16.373209,-71.501257,tubo,transitable
D044,-16.397174,-71.579991,tubo,transitable
D045,-16.432069,-71.531434,valvula,obstaculo
D046,-16.387332,-71.592387,tubo,transitable
D047,-16.368417,-71.553335,valvula,transitable
D048,-16.374677,-71.543402,bomba,obstaculo
D049,-16.369811,-71.553357,bomba,transitable
D050,-16.448575,-71.500895,tubo,obstaculo
D051,-16.414983,-71.583963,cuadra,obstaculo
D052,-16.443465,-71.503623,tubo,obstaculo
D053,-16.392396,-71.568532,bomba,obstaculo
D054,-16.418159,-71.508867,cuadra,transitable
D055,-16.390724,-71.558709,cuadra,transitable
D056,-16.386363,-71.506996,bomba,transitable
D057,-16.374973,-71.580175,valvula,transitable
D058,-16.421714,-71.55854,bomba,transitable
D059,-16.355116,-71.538921,tubo,transitable
D060,-16.352021,-71.524365,tubo,obstaculo
D061,-16.37102,-71.50157,bomba,transitable
D062,-16.408347,-71.582332,bomba,obstaculo
D063,-16.416896,-71.55197,tubo,transitable
D064,-16.380633,-71.566314,cuadra,obstaculo
D065,-16.424766,-71.587647,tubo,obstaculo
D066,-16.390709,-71.515412,tubo,obstaculo
D067,-16.444621,-71.56343,valvula,transitable
D068,-16.369605,-71.529938,valvula,transitable
D069,-16.358032,-71.567805,valvula,transitable
D070,-16.447284,-71.543131,bomba,transitable
D071,-16.427282,-71.508646,tubo,transitable
D072,-16.372903,-71.586931,cuadra,obstaculo
D073,-16.387701,-71.502469,tubo,transitable
D074,-16.393729,-71.525563,bomba,transitable
D075,-16.363928,-71.548497,cuadra,transitable
D076,-16.409093,-71.563782,bomba,transitable
D077,-16.411537,-71.539224,bomba,transitable
D078,-16.43447,-71.523302,tubo,transitable
D079,-16.403027,-71.585434,valvula,transitable
D080,-16.365041,-71.518488,cuadra,transitable
D081,-16.417552,-71.59888,bomba,obstaculo
D082,-16.415133,-71.542371,bomba,transitable
D083,-16.353042,-71.593907,tubo,transitable
D084,-16.384264,-71.531611,cuadra,transitable
D085,-16.411186,-71.547562,valvula,transitable
D086,-16.425408,-71.560023,bomba,transitable
D087,-16.397729,-71.522999,bomba,obstaculo
D088,-16.426647,-71.551582,valvula,transitable
D089,-16.429927,-71.567589,bomba,transitable
D090,-16.418754,-71.524903,bomba,transitable
D091,-16.427451,-71.548363,cuadra,transitable
D092,-16.437915,-71.570157,bomba,obstaculo
D093,-16.426281,-71.5901,cuadra,obstaculo
D094,-16.41727,-71.531792,cuadra,obstaculo
D095,-16.368336,-71.59351,valvula,obstaculo
D096,-16.360005,-71.527403,cuadra,transitable
D097,-16.429284,-71.532598,cuadra,transitable
D098,-16.389596,-71.555545,valvula,transitable
D099,-16.420557,-71.530694,cuadra,transitable
D100,-16.357963,-71.590024,tubo,transitable
